2;0,24;;;128;15,45;;;2;0,24;38;4,58;7;0,84;;;;;;;120;14,49;29;3,5;;;1;0,12;1;0,12;115;13,88;38;4,58;10;1,2;13;1,57;77;9,29;3;0,36;2;0,24;242;29,22
4;0,49;;;144;17,93;2;0,24;1;0,12;39;4,85;1;0,12;;;;;1;0,12;120;14,94;28;3,48;2;0,24;4;0,49;4;0,49;119;14,81;38;4,73;6;0,74;21;2,61;46;5,72;;;;;223;27,77
1;0,13;;;96;13,24;1;0,13;1;0,13;19;2,62;6;0,82;;;;;;;135;18,62;24;3,31;;;4;0,55;3;0,41;107;14,75;31;4,27;14;1,93;14;1,93;44;6,06;11;1,51;;;214;29,51
1;0,14;;;110;16,24;;;4;0,59;24;3,54;1;0,14;1;0,14;;;;;93;13,73;40;5,9;1;0,14;;;3;0,44;98;14,47;31;4,57;9;1,32;9;1,32;38;5,61;4;0,59;;;210;31,01
1;0,11;3;0,35;121;14,13;1;0,11;1;0,11;29;3,38;4;0,46;1;0,11;;;;;115;13,43;33;3,85;;;2;0,23;3;0,35;101;11,79;33;3,85;15;1,75;18;2,1;62;7,24;4;0,46;3;0,35;306;35,74
5;0,67;;;90;12,08;1;0,13;3;0,4;35;4,69;6;0,8;;;;;2;0,26;93;12,48;38;5,1;1;0,13;1;0,13;6;0,8;117;15,7;48;6,44;18;2,41;29;3,89;46;6,17;8;1,07;;;198;26,57
5;0,56;2;0,22;171;19,43;;;;;24;2,72;5;0,56;1;0,11;1;0,11;;;107;12,15;22;2,5;1;0,11;1;0,11;3;0,34;85;9,65;92;10,45;6;0,68;29;3,29;60;6,81;9;1,02;;;256;29,09
;;;;138;16,82;;;;;29;3,53;6;0,73;;;;;;;107;13,04;37;4,51;;;5;0,6;3;0,36;138;16,82;64;7,8;10;1,21;25;3,04;43;5,24;5;0,6;2;0,24;208;25,36
1;0,15;2;0,3;121;18,22;;;3;0,45;36;5,42;5;0,75;;;;;2;0,3;73;10,99;28;4,21;;;2;0,3;2;0,3;84;12,65;25;3,76;22;3,31;17;2,56;34;5,12;5;0,75;2;0,3;200;30,12
2;0,17;1;0,08;235;20,08;1;0,08;3;0,25;37;3,16;5;0,42;1;0,08;;;;;89;7,6;50;4,27;1;0,08;2;0,17;2;0,17;163;13,93;64;5,47;18;1,53;32;2,73;92;7,86;3;0,25;2;0,17;367;31,36
5;0,56;1;0,11;130;14,73;2;0,22;4;0,45;41;4,64;5;0,56;;;1;0,11;;;121;13,71;25;2,83;;;3;0,34;10;1,13;116;13,15;51;5,78;11;1,24;26;2,94;78;8,84;10;1,13;;;242;27,43
1;0,14;;;112;16,02;;;1;0,14;26;3,71;3;0,42;;;;;1;0,14;77;11,01;24;3,43;1;0,14;2;0,28;7;1;120;17,16;40;5,72;12;1,71;26;3,71;44;6,29;2;0,28;3;0,42;197;28,18
;;;;118;15,1;;;8;1,02;18;2,3;3;0,38;;;;;;;94;12,03;40;5,12;;;;;3;0,38;126;16,13;44;5,63;15;1,92;15;1,92;75;9,6;4;0,51;1;0,12;217;27,78
1;0,13;;;123;16,24;1;0,13;2;0,26;25;3,3;2;0,26;;;;;;;83;10,96;45;5,94;1;0,13;2;0,26;4;0,52;100;13,21;55;7,26;8;1,05;24;3,17;54;7,13;3;0,39;;;224;29,59
;;;;118;13,96;;;;;28;3,31;8;0,94;;;;;;;93;11;47;5,56;;;2;0,23;2;0,23;131;15,5;44;5,2;13;1,53;25;2,95;61;7,21;5;0,59;;;268;31,71
1;0,12;1;0,12;139;17,77;;;1;0,12;33;4,21;7;0,89;;;;;;;97;12,4;38;4,85;2;0,25;;;2;0,25;98;12,53;30;3,83;12;1,53;14;1,79;57;7,28;2;0,25;2;0,25;246;31,45
1;0,11;2;0,23;173;20,69;;;1;0,11;27;3,22;1;0,11;;;1;0,11;1;0,11;79;9,44;40;4,78;;;1;0,11;9;1,07;108;12,91;46;5,5;10;1,19;26;3,11;61;7,29;3;0,35;1;0,11;245;29,3
;;;;151;18,99;;;5;0,62;18;2,26;4;0,5;;;;;;;95;11,94;27;3,39;;;2;0,25;3;0,37;120;15,09;43;5,4;12;1,5;12;1,5;77;9,68;5;0,62;;;221;27,79
